ArticleID,Topic,Ideology,Credibility,Source,Title,Abstract
0,climate,left,high,The New Yorker,From Climate Exhortation to Climate Execution: The Inflation Reduction Act finally offers a chance for widespread change,"So far, the climate debate has gone on mostly in people’s heads and hearts. It took thirty years to get elected leaders to take it seriously: first, to just get them to say that the planet was warming, and then to allow that humans were causing it. But this year Congress finally passed serious legislation—the Inflation Reduction Act—that allocates hundreds of billions of dollars to the task of transforming the nation so that it burns far less fossil fuel. So now the battle moves from hearts and heads to houses. "
1,climate,left,high,The New Yorker,The U.N. Secretary-General’s Searing Message for the Fossil-Fuel Industry,"Secretary-General is saying that the central problem with climate change is the fossil-fuel industry's product, that the industry is immorally undermining climate action, and that, if it continues, it should be shut down."
2,climate,left,medium,Huffington Post,‘It’s F**king Over!’ Lula da Silva’s Victory In Brazil Injects Hope Into Global Climate Fight,"In an election many saw as crucial to the future of the Amazon rainforest and staving off catastrophic planetary warming, the leftist da Silva, known affectionately as “Lula,” narrowly ousted far-right President Jair Bolsonaro, a staunch climate change denier who has presided over skyrocketing deforestation in the Amazon rainforest that turned him into a global pariah."
3,climate,left,medium,Huffington Post,Self-Proclaimed Climate 'Leader' To Host Annual Climate Denier Conference,"For the second year in a row, a self-declared “leader” in the fight against global climate change will host the Super Bowl of climate change denial.
In February, the right-wing Heartland Institute is scheduled to convene its three-day “International Conference on Climate Change” at the Hilton Orlando Lake Buena Vista hotel, near Walt Disney World Resort. The Illinois-based think tank is unwavering in its dismissal of established climate science and has a long history of cheerleading for the fossil fuel industry and fighting environmental regulations and renewable energy projects."
4,climate,center_left,high,ABC News,Report: A new report says climate commitments by companies aren’t always as green as they seem,"A new report concludes major brands are exaggerating how ambitious their efforts to cut greenhouse gas emissions are — in effect misleading consumers, investors and governments.
The report published Monday by the Europe-based environmental think tanks NewClimate Institute and Carbon Market Watch examined 24 companies, including KitKat manufacturer Nestle, French retailer Carrefour and automaker Volkswagen. It found that only one company — shipping firm Maersk — had climate plans with “reasonable integrity” while the rest were assessed to be moderate to very low."
5,climate,center_left,high,ABC News,Climate activists dig in to defend village from coal mine,"Climate activists pledged Sunday to defend a tiny village in western Germany from being bulldozed for the expansion of a nearby coal mine that has become a battlegroundbetween the government and environmental campaigners.
Hundreds of people from across Germany gathered for protest training and a subsequent demonstration in the hamlet of Luetzerath, which lies west of Cologne next to the vast Garzweiler coal mine."
6,climate,center_left,medium,Buzzfeed,Activists Say The Outrage At Them Gluing Their Hands To Famous Paintings Is Nothing Compared To What Climate Change Will Do To Art,"Activists around the world are setting their sights on another target in an effort to draw attention to the climate emergency: famous artworks in museums.
Extinction Rebellion spokesperson Brad Homewood told the Guardian that they did it knowing it would not damage the artwork. ""Our intention was always to glue on to the perspex protecting it,"" he said. ""Those activists are on the same side as you. They're not protesting the museum or have a problem with the art. They're making a desperate statement that we are in danger."""
7,climate,center_left,medium,Buzzfeed,“It’s Now Or Never”: The Next Three Years Are Crucial To Preventing The Worst Impacts Of Climate Change,"The best possible future — the one with fewer climate disasters, extinctions, and human suffering — involves limiting global warming to 1.5 degrees Celsius. But for this to happen, a new report warns, greenhouse gas levels must start dropping by 2025.
“We are on a fast track to climate disaster,” United Nations Secretary-General António Guterres said on Monday while announcing the new report by the United Nation’s preeminent climate body, the Intergovernmental Panel on Climate Change."
8,climate,least_biased,high,CNET,"At COP27, Historic Deal Will Compensate Poor Nations for Climate Crisis Disasters","Developing countries, climate NGOs and activists celebrated a victory more than 30 years in the making on Sunday, as they welcomed the news that this year's UN climate summit, COP27, has resulted in the establishment of a funding mechanism for loss and damage. 
It marks an important breakthrough in multilateral climate negotiations that will see countries that are historically responsible for emitting the majority of greenhouse gases compensate those from vulnerable countries, who are the hardest hit. For something that many activists argue is long overdue, it can't come soon enough."
9,climate,least_biased,high,CNET,An Overlooked Threat From Climate Change Puts Millions at Risk Right Now,"Rising sea levels and the potential impacts to huge coastal populations worldwide rank near the top of concerns when it comes to fallout from an escalating climate emergency. But a lesser-known danger poses an equal or arguably more imminent threat to millions around the world living at much higher altitudes: flooding from glacial lakes.
With average temperatures rising around the world in recent decades, a number of these lakes high above population centers in South America and Asia have become swollen and unstable as the reserves of snow and ice that feed them melt ever quicker. "
